id,q116_0_taille_menage,q236_1_cash_transfert,q236_2_bons_achat_alimentaire,q236_3_bourses_securite_familiale,q236_4_couverture_maladie_universelle,q401_1_montant_total_revenus_menage,q402_1_montant_revenu_agriculture_30_derniers_jours,q402_2_montant_revenu_elevage_30_derniers_jours,q402_3_montant_revenu_peche_30_derniers_jours,q402_4_montant_revenu_commerce_30_derniers_jours,q402_5_montant_revenu_salaire_30_derniers_jours,q402_7_montant_revenu_transferts_30_derniers_jours,q402_8_montant_revenu_dons_30_derniers_jours,q403_1_montant_depense_alimentation,q403_2_montant_depense_eau_electricite_gaz_eclairage,q403_3_montant_depense_transport_30_derniers_jours,q403_4_montant_depense_sante_30_derniers_jours,q403_5_montant_depense_education,POIDS_DR,POIDS_DR_REDRESS,DEPENSES_TOTALES,DEPENSES_ALIMENTAIRES,PDAM,TYPE_TOILETTE,SOURCE_EAU_BOISSON,ENERGIE_CUISSON,CASH_TRANSFERT,SECHERESSE,CASH_TRANSFERT_MONTANT,BON_ACHAT_ALIM_MONTANT,CASH_TRANSFERT_MONTANT_AP,BON_ACHAT_ALIM_MONTANT_AP,CASH_TRANSFERT_MONTANT_AP_RECU,BON_ACHAT_ALIM_MONTANT_AP_RECU,q100_region,q101_departement,q114_1_situation_matrimoniale_cm,q115_1_cm_souffre_t_il_maladie_chronique,q206_1_type_toilette_utilise,q207_1_principale_source_energie_cuisson,q208_1_principale_source_energie_eclairage,q209_1_principale_source_eau_boisson,q210_1_principal_mode_evacuation_dechets_solides,q211_1_principal_mode_evacuation_eaux_usees,q212_1_principal_mode_evacuation_boues_vidange,q214_1_pratique_agricole_derniere_campagne,q215_1_si_oui_a_quelle_date_avez_vous_seme,q215_2_si_vous_avez_resseme_precisez_la_date,q220_1_mode_acquisition_semences,q226_pratiquer_elevage,q228_evolution_espece_par_rapport_annee_passee,q400_1_principale_source_revenu,q501_probleme_sante_membre_12_derniers_mois,q502_1_probleme_sante_plus_serieux,q506_distance_lieu_traitement,q508_distance_lieu_approvisionnement_marche_cm,q512_1_vendre_plus_animaux,GCA_112_28,rCSI_r,PDAM__r,DISTANCE_LIEU_TRAITEMENT,DISTANCE_MARCHE_APPROVISIONNEMENT,rCSI__r_AP,PDAM__r_AP,HHS__r_AP,LCSI_24__r_AP,GCA_112_28_AP,HDDS__r_AP,CHOCS,TAILLE_MEN,PRATIQUE_AGRICOLE,MALADIE_CHRONIQUE_r,PRATIQUE_ELEVAGE,MALADIE_CHRONIQUE_rrr,PRATIQUE_PECHE,PRATIQUE_FORESTERIE,SITUATION_MATRIMONIALE,RAISON_NON_PRATIQUE_AGRICOLE,RESEMIS,MODE_ACCES_TERRE,AVEZ_VOUS_RECOLTEZ,MILIEU_RESIDENCE,SEXE,q113_7_niveau_instruction,q113_8_categorie_socio_professionnelle,AGE,NIVEAU_INSTRUCTION,CATEGORIE_SOCIA_ECO,HAUTEUR_PARTICIPATION,q600_inquiets_de_ne_pas_avoir_suffisamment_de_nourriture,q601_ne_pas_manger_nourriture_saine_nutritive,q602_manger_nourriture_peu_variee,q603_sauter_un_repas,q604_manger_moins_que_ce_que_vous_auriez_du,q605_1_ne_plus_avoir_de_nourriture_pas_suffisamment_d_argent,q606_1_avoir_faim_mais_ne_pas_manger,q607_1_passer_toute_une_journee_sans_manger,insécurité_alimentaire
2543,-0.7660208066555079,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.09039569416334793,-0.08375053786427453,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,2,0,0,0,3,1,1,1,0,0,0,3,5,7,5,2,0,1,1,8,2,2,9,19,2,2,2,1,2,1,1,1,0
2544,0.3727331078444603,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.09039569416334793,-0.08375053786427453,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,2,0,0,0,4,0,1,1,0,0,0,3,5,7,5,2,0,1,2,8,2,3,9,19,2,2,2,1,2,1,1,1,0
2490,-0.0542996100930278,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.08581858699009624,-0.07904739714461799,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,0,0,0,0,4,1,1,1,0,0,0,3,5,7,5,2,0,0,1,8,2,2,9,5,2,2,2,1,2,1,1,1,0
2596,-0.19664384940552382,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,2,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,4,0,4,0,2,1,1,0,0,3,5,7,5,1,0,0,2,8,2,3,9,5,1,1,1,1,1,1,1,1,1
2598,-1.477742003217988,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,6,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,0,0,1,1,6,1,1,0,0,3,5,7,5,1,0,1,1,8,5,2,9,5,1,1,1,1,1,1,1,1,1
2522,1.2267985437194364,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,4,2,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,2,2,2,0,0,4,0,2,1,2,1,1,0,0,4,5,7,5,1,0,1,1,8,0,2,9,7,1,1,1,1,1,1,1,1,1
2566,1.3691427830319325,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,0.03816152976089989,0.04834659068383359,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,6,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,2,2,2,0,0,0,0,2,1,6,1,1,0,0,3,5,7,5,1,0,1,4,8,2,5,9,7,1,1,1,1,1,1,1,1,1
2493,-0.4813323280305159,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.08581858699009624,-0.07904739714461799,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,0,0,0,0,3,1,1,1,0,0,0,3,5,7,5,2,0,1,2,8,4,3,9,10,2,2,2,1,2,1,1,1,0
2548,0.3727331078444603,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,-0.08725142053998085,-0.08051968467425237,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,6,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,0,0,0,0,4,1,6,1,1,0,0,3,5,7,5,2,0,1,2,8,5,3,9,10,2,2,2,1,2,1,1,1,0
2608,0.5150773471569563,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08819756974579698,-0.08149188669799844,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,4,1,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,0,0,4,0,1,1,0,0,0,4,5,7,5,1,0,1,1,8,2,2,9,10,1,1,1,1,1,1,1,1,1
2563,-0.6236765673430119,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.24549086297399955,-0.3805406356360127,-0.4377216171895668,-0.059576684114305604,-0.1849081418748747,0.03816152976089989,0.04834659068383359,-0.4178609430075951,-0.24549086297399955,0.8470823476889616,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,5,3,1,6,6,1,1,0,0,1,3,1,1,1,0,2,1,1,1,1,0,2,0,0,0,0,3,1,1,1,0,0,0,3,5,7,5,2,0,1,2,8,5,3,9,10,2,2,2,1,2,1,1,1,0
2525,-0.0542996100930278,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,4,1,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,4,0,4,1,1,1,0,0,0,4,5,7,5,1,0,0,3,8,0,4,9,13,1,1,1,1,1,1,1,1,1
2506,0.23038886853196425,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,-0.19924195690526578,0.6922341361327493,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,-0.44444517325403937,-0.3805406356360127,-0.23264527405998095,-0.18703305974295795,-0.1849081418748747,-0.08767696133111692,-0.08095694300071746,-0.5088178648132348,-0.44444517325403937,0.7621472007536586,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,1,5,1,5,5,4,2,3,1,2,6,2,1,0,0,1,3,4,4,1,0,2,1,4,4,1,0,2,0,0,0,0,4,1,1,1,0,0,0,3,5,7,5,1,0,1,1,8,2,2,9,13,2,2,2,1,2,1,1,1,0
2599,-1.477742003217988,-0.29042933236032936,-0.12206416180851432,-0.4248332009525365,-0.10962851748230412,0.2050764843512882,1.0852363596684105,-0.23845465472966657,-0.10423632110736845,-0.27727459529283704,-0.23549031380586105,-0.323996894514171,-0.2121993392434843,0.7492806884261994,-0.3805406356360127,-0.1172898310495889,-0.14454760120007384,-0.1849081418748747,-0.08301627647585277,-0.07616792323462716,0.05380122817787218,0.7492806884261994,0.9586458109607386,-1.4488488225124851,-2.370729346448639,0.0,-0.2906586174840392,-0.13349138976305783,-0.2897194769483898,-0.12193666008147257,-0.3012638027060315,-0.06674568209381417,,,6,43,3,4,5,1,3,5,4,5,3,1,1,6,0,1,1,0,1,4,2,6,3,1,2,1,2,6,1,0,2,0,0,0,0,1,1,4,1,1,0,0,3,5,7,5,1,0,1,2,8,2,3,9,17,1,1,1,1,1,1,1,1,1
